Name,Sector,Full Time Employees,State,Enterprise Value,Profit Margins,Market Cap,Ask Size,Percentage Increase/Decrease
Quest Diagnostics,Health Care,47000,NJ,18854494208,0.10357001,14364154880,800,"(-45.0, -20.0]"
Realty Income Corporation,Real Estate,194,CA,25735299072,0.30445,18021736448,1000,"(-45.0, -20.0]"
Regency Centers Corporation,Real Estate,450,FL,10849123328,0.20558001,6467495936,1300,"(-45.0, -20.0]"
Regeneron,Health Care,8100,NY,59236581376,0.27399,62280925184,900,"(5.0, 30.0]"
Regions Financial Corp.,Financials,19743,AL,18860859392,0.25986,9238735872,2900,"(-45.0, -20.0]"
Republic Services Inc,Industrials,36000,AZ,33663397888,0.10421,25069467648,800,"(-20.0, 5.0]"
ResMed,Health Care,7240,CA,24215615488,0.17728001,23136751616,900,"(-20.0, 5.0]"
Rockwell Automation Inc.,Industrials,23000,WI,24189517824,0.10537,21915060224,1100,"(-45.0, -20.0]"
Roper Technologies,Industrials,16460,FL,40351039488,0.30175,36658999296,1200,"(-20.0, 5.0]"
Ross Stores,Consumer Discretionary,92500,CA,33729654784,0.103549995,31579688960,800,"(-45.0, -20.0]"
Royal Caribbean Cruises Ltd,Consumer Discretionary,85300,FL,19898703872,0.17158002,7551214592,800,"(-70.0, -45.0]"
SBA Communications,Real Estate,1475,FL,45747097600,-0.0029699998,32353159168,800,"(5.0, 30.0]"
Schlumberger Ltd.,Energy,103000,TX,36271960064,-0.55193,21955153920,1000,"(-70.0, -45.0]"
Sempra Energy,Utilities,18000,CA,66853498880,0.22955999,35694874624,800,"(-45.0, -20.0]"
Sherwin-Williams,Materials,61111,OH,60048809984,0.08984,47581016064,1100,"(-20.0, 5.0]"
Skyworks Solutions,Information Technology,9000,CA,16692700160,0.24347,17956722688,1000,"(-45.0, -20.0]"
SL Green Realty,Real Estate,1033,NY,10904143872,0.29027998,3491590400,800,"(-45.0, -20.0]"
Snap-On Inc.,Consumer Discretionary,12800,WI,7622580224,0.16326,6506197504,1000,"(-45.0, -20.0]"
Southern Co.,Utilities,27943,GA,111734816768,0.16756001,56641695744,800,"(-20.0, 5.0]"
Southwest Airlines,Industrials,60922,TX,14315755520,0.08455,14693392384,1000,"(-45.0, -20.0]"
Stanley Black & Decker,Consumer Discretionary,59438,CT,24010594304,0.06455,16354416640,900,"(-45.0, -20.0]"
Starbucks Corp.,Consumer Discretionary,346000,WA,105527173120,0.12713,85239169024,1300,"(-45.0, -20.0]"
Stericycle Inc,Industrials,19500,IL,7463491584,-0.10480999999999999,4296415744,900,"(-45.0, -20.0]"
Stryker Corp.,Health Care,40000,MI,77398876160,0.14468999,69760245760,1200,"(-45.0, -20.0]"
SVB Financial,Financials,3710,CA,3952184320,0.32376,9268768768,1000,"(-45.0, -20.0]"
